List Number	Author	Author Wikidata ID	Author GND ID	Title	Subtitle	Pages	Publication Date	Date of first performance	Location of first performance	Work Wikidata ID	Work Goodreads ID	Work GND ID	DraCor ID
94	Johann Georg Heubel	http://www.wikidata.org/entity/Q132941071	https://d-nb.info/gnd/1055654550	Die Begebenheiten des Telemachs auf der Insul der Göttin Calypso in einer Tragödie vorgestellt		126–127	1740						
95	Theodor Gottlieb von Hippel d. Ä.	http://www.wikidata.org/entity/Q214310	https://d-nb.info/gnd/11855137X	Der Mann nach der Uhr, oder der ordentliche Mann	Lustspiel in Einem Aufzuge	127–128	1765			http://www.wikidata.org/entity/Q51393766			https://dracor.org/id/ger000359
96	Salomon Hirzel	http://www.wikidata.org/entity/Q23889138	https://d-nb.info/gnd/116916699	Junius Brutus	Ein Trauerspiel, in fünf Aufzügen	129–130	1761			http://www.wikidata.org/entity/Q104857302			
97	Friedrich Hölderlin	http://www.wikidata.org/entity/Q75889	https://d-nb.info/gnd/118551981	Der Tod des Empedokles	Fragmente eines Trauerspiels	130–132	1826	1916	Stuttgart	http://www.wikidata.org/entity/Q1197434		https://d-nb.info/gnd/4099237-8	
98	Ludwig Ferdinand Huber	http://www.wikidata.org/entity/Q88699	https://d-nb.info/gnd/118554077	Das heimliche Gericht	Ein Trauerspiel	132–133	1790	1790-02-11	Mannheim	http://www.wikidata.org/entity/Q136784236			
99	Ludwig Ferdinand Huber	http://www.wikidata.org/entity/Q88699	https://d-nb.info/gnd/118554077	Juliane	Ein Lustspiel in drei Aufzügen	134	1791						
100	Ludwig Friedrich Hudemann	http://www.wikidata.org/entity/Q1874412	https://d-nb.info/gnd/100820042	Diocletianus der Christenverfolger	Ein Trauerspiel	135	1751						
101	August Wilhelm Iffland	http://www.wikidata.org/entity/Q215115	https://d-nb.info/gnd/118555324	Figaro in Deutschland	Ein Lustspiel in fünf Aufzügen	136–137	1790	1789	Mannheim	http://www.wikidata.org/entity/Q51395031			https://dracor.org/id/ger000434
102	August Wilhelm Iffland	http://www.wikidata.org/entity/Q215115	https://d-nb.info/gnd/118555324	Die Jäger	Ein ländliches Sittengemälde in fünf Aufzügen	137–138	1785	1785-03-09	Dürkheim				
103	August Wilhelm Iffland	http://www.wikidata.org/entity/Q215115	https://d-nb.info/gnd/118555324	Die Kokarden	Ein Trauerspiel in fünf Aufzügen	138–139	1791	1791-10-14	Leipzig	http://www.wikidata.org/entity/Q137106271			
104	August Wilhelm Iffland	http://www.wikidata.org/entity/Q215115	https://d-nb.info/gnd/118555324	Verbrechen aus Ehrsucht	Ein ernsthaftes Familiengemählde in fünf Aufzügen	139–140	1784	1784-03-09	Mannheim	http://www.wikidata.org/entity/Q51395085	https://www.goodreads.com/work/editions/41704373	https://d-nb.info/gnd/1217605371	https://dracor.org/id/ger000235
105	Katharina II., Kaiserin von Russland	http://www.wikidata.org/entity/Q36450	https://d-nb.info/gnd/118560565	Der Betrüger		140–142	1788	1786-01	St. Petersburg				
106	Katharina II., Kaiserin von Russland	http://www.wikidata.org/entity/Q36450	https://d-nb.info/gnd/118560565	Der Verblendete		140–142	1788	1786-02	St. Petersburg				
107	Katharina II., Kaiserin von Russland	http://www.wikidata.org/entity/Q36450	https://d-nb.info/gnd/118560565	Der sibirische Schaman		140–142	1788	1786-07-24	St. Petersburg				
108	Anton von Klein	http://www.wikidata.org/entity/Q27017076	https://d-nb.info/gnd/100303501	Kaiser Rudolf von Habsburg	Ein Trauerspiel in fünf Aufzügen	142–144	1787						
109	Ewald Christian von Kleist	http://www.wikidata.org/entity/Q213747	https://d-nb.info/gnd/118723499	Seneka	Ein Trauerspiel	144–145	1758						
110	Ernst August Friedrich Klingemann	http://www.wikidata.org/entity/Q68143	https://d-nb.info/gnd/118563300	Die Maske	Trauerspiel in 4 Aufzügen	145–146	1797	1797-09-08	Rudolstadt	http://www.wikidata.org/entity/Q133503122			
111	Friedrich Maximilian Klinger	http://www.wikidata.org/entity/Q213549	https://d-nb.info/gnd/118563319	Damokles	Ein Trauerspiel in fünf Akten	146–147	1790						
